         65111546 function calls (54041722 primitive calls) in 109.898 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 _config_module.py:766(__init__)
        6    0.000    0.000    0.000    0.000 _config_module.py:790(get_tristate_env)
      455    0.000    0.000    0.000    0.000 _config_module.py:87(__init__)
        1    0.000    0.000    0.001    0.001 _configuration_override.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _configuration_override.py:16(ConfigurationOverride)
        2    0.000    0.000    0.000    0.000 _constants.py:1(<module>)
       23    0.000    0.000    0.000    0.000 _contextlib.py:124(__call__)
      659    0.001    0.000    0.001    0.000 _contextlib.py:154(__new__)
       23    0.000    0.000    0.000    0.000 _contextlib.py:70(context_decorator)
        1    0.000    0.000    0.110    0.110 _conv_ops.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _conversion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _conversion.py:17(Conversion)
        1    0.000    0.000    0.000    0.000 _cxx_pytree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _data_parallel_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _debug_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _debug_utils.py:22(SimpleProfiler)
        1    0.000    0.000    0.000    0.000 _debug_utils.py:23(Type)
        1    0.000    0.000    0.000    0.000 _device.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _device.py:61(DeviceContext)
        1    0.000    0.000    0.040    0.040 _diagnostic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _diagnostic.py:100(__init__)
        1    0.000    0.000    0.000    0.000 _diagnostic.py:107(background_context)
        1    0.000    0.000    0.000    0.000 _diagnostic.py:46(TorchScriptOnnxExportDiagnostic)
        1    0.000    0.000    0.000    0.000 _diagnostic.py:81(ExportDiagnosticEngine)
        1    0.000    0.000    0.002    0.002 _dispatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dispatch.py:110(OpDispatcher)
        1    0.000    0.000    0.000    0.000 _dispatch.py:124(__init__)
        1    0.000    0.000    0.103    0.103 _dtensor_spec.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dtensor_spec.py:14(TensorMeta)
        1    0.000    0.000    0.000    0.000 _dtensor_spec.py:24(DTensorSpec)
        1    0.000    0.000    0.000    0.000 _dtypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dtypes.py:101(int64)
        1    0.000    0.000    0.000    0.000 _dtypes.py:110(uint8)
        1    0.000    0.000    0.000    0.000 _dtypes.py:116(uint16)
